SUBLEN,0.862,-0.046,0.062,0,0,0.081,0,0.059,0.077
SUBLEND,0.87,0,0,0.061,0,0,0,0,-0.105
SUBSTPHK,0.825,0.069,0.159,0,0,-0.056,0,-0.074,0
SUBRIDPC,0.861,0,0,0,0,0,0,0,0
SUBAGE,0.785,0.096,0.08,0,-0.088,0,0,0,0.091
BRTLEN,0,0.864,0,0,-0.058,0.142,0,0,0
BRTLEND,0,0.903,0.112,0,0,0.065,0,0,-0.071
BRTSTPHK,-0.054,0.86,0,0.119,0,0,0,0,0
BRTFLPHK,0.079,0.926,0,0,0,0,0,0,0
BRTRIDPC,0,0.983,0,0,0,0,0,0,0
BRTAGE,0.076,0.883,0,0.082,0,0,0,0,0
BSST,0,0.085,0.819,0,0,0,0,0,0.081
BSSTPHK,0,0.092,0.815,0,0,0,0,0,0
BSBIKES,0,0,0.879,0,0,0,0,0,0
BSBIKPHK,0,0,0.896,0,0,0,0,0,0
BSAGE,0,0,0.686,0.257,0,0,0,0,0
MODECAR,-0.203,0,0.333,0.437,-0.269,0,-0.337,0,0
MODEPT,0.203,0,0,0,0,0,0.36,0,0
MODEBIKE,0,0,0,0,0.674,0,0,0,0
MODEWALK,0,0,0,-0.408,0,0,0,-0.212,0
GASPRICE,0,0,0,0.348,0.186,0,0,-0.549,0
RDDEATH,0,0,-0.205,-0.704,0,0,0,0.375,0
CONGEST,0,0,0,0,0,0,0.87,0,0
AMPEAK,0,0,0,0,0,0,0.846,0,0
PMPEAK,0,0,0,0,0,0,0.935,0,0
TI,0,0,0,0,-0.768,0,0.294,0,0
TTI,0.098,0,0,0,-0.694,0,0.396,0,0
INEFIND,0,0,0,0,-0.774,0,0,0,0
POP,0.088,0,0,0,0,0.605,0.238,0,0.215
LAND,0.112,0,0,0.518,0,0.292,0,0.259,0.28
POPDEN,0,0,0,-0.392,0,0.395,0,-0.24,-0.151
POCH9000,0,0.067,0,0,0,0.892,0,0,0
POCH0010,0,0.063,0,0,0,0.949,0,0,0
POCH1020,0,0.048,0,0,0,0.975,0,0,0
POCH2025,0,0,0,0,0,0.952,0,-0.103,0
UR15,0,0.265,0,0.483,0,-0.341,0,0,0.141
URCH1525,0,0,0,-0.333,0.483,0.459,0,0,0
GDPPCP,0,0,0,0.931,0,0,0,0,0
UNEMPLOY,0,0,0,-0.322,-0.399,0,0,-0.299,0
COSTLIV,0,0.047,-0.698,1.249,0,0,0,-0.075,0.046
RENT,0,0,-0.734,1.239,0,0.097,0.169,0,0
GROCERY,0,0,-0.667,1.223,0,0,0,0,0
RESTAPRI,0,0.054,-0.487,1.143,0,-0.073,0,-0.128,0
LOCPURPO,0,0,0,0.613,0,0.134,-0.302,0,0
GINI,0,0.337,0,0,-0.36,0,0,0,0
POVERTY,0,0.21,0,0,-0.303,0,0,0,0
LIFEEXP,0,0.23,0,0.468,0.286,-0.18,0,0,0
SAFETY,0,-0.198,0,0.301,0.472,0,0,0,0
INTERNET,0.079,0.187,0,0.661,0.102,-0.195,0,0,0
DIGITAL,0.065,0.116,0.141,0.71,0,-0.175,-0.135,0,0
INNOVAT,0.154,0.072,0.211,0.661,0,0.077,0,0,0
SMARTPHO,0,0,0,0.655,0.239,0,-0.244,0.12,0
CO2EMSPC,0,0,0,0.561,0,0,-0.269,0.231,0
POLLUI,0,-0.168,0,-0.636,0,0.242,0.188,0,0
STLENT,0,0,0,0,0,0,0,0.239,0
STLEND,0,0,0.245,0,-0.239,0,0,0,0.531
STLENAVG,0,0,0,0,0.61,0,0,0.29,-0.245
INTERST,0,0,0,0,0,0,0,0.157,0
INTERSD,-0.189,0,0,0,0,0,0,-0.226,0.36
K_AVG,0,0,-0.323,0,0,0,0,0,0.261
STPERNOD,0,0,0,0,0.267,0,0,0,0.512
CIRCUITY,0,0.167,0,0,0,-0.234,0,0,-0.528
LOOPP,0,0,0,0.447,0,0,0,0,-0.287
HIGHWAYP,0,0,0,0.454,0.425,0.207,0,0.217,-0.158
