SUBLEN,0.862,-0.046,0.062,-0.042,0.009,0.081,0.011,0.059,0.077
SUBLEND,0.87,0.021,-0.014,0.061,0.037,-0.007,0.043,0.021,-0.105
SUBSTPHK,0.825,0.069,0.159,0.001,-0.014,-0.056,-0.073,-0.074,-0.033
SUBRIDPC,0.861,0.032,0.035,0.044,0.023,0.024,0.045,-0.016,-0.019
SUBAGE,0.785,0.096,0.08,0.054,-0.088,0.021,-0.01,0.003,0.091
BRTLEN,0.039,0.864,0.014,0.064,-0.058,0.142,0.009,0.001,-0.009
BRTLEND,-0.023,0.903,0.112,0.011,0.016,0.065,0.018,-0.014,-0.071
BRTSTPHK,-0.054,0.86,0.086,0.119,0.027,0.045,-0.022,-0.017,-0.038
BRTFLPHK,0.079,0.926,0.019,0.026,-0.032,0.023,0.001,-0.02,-0.022
BRTRIDPC,0.044,0.983,0.001,-0.025,0.003,-0.006,0.048,0.032,0.02
BRTAGE,0.076,0.883,-0.01,0.082,-0.01,0.036,0.036,-0.021,0.062
BSST,0.054,0.085,0.819,0.073,0.056,0.041,0.025,0.022,0.081
BSSTPHK,0.024,0.092,0.815,0.105,0.057,-0.011,0.003,-0.022,0.043
BSBIKES,0.025,0.054,0.879,0.035,0.074,0.062,0.022,0.054,0.066
BSBIKPHK,0.008,0.055,0.896,0.027,0.088,0.009,0.011,0.045,0.05
BSAGE,0.074,0.03,0.686,0.257,-0.005,0.067,0.071,-0.063,0.031
MODECAR,-0.203,0.017,0.333,0.437,-0.269,-0.044,-0.337,0.208,-0.028
MODEPT,0.203,0.001,-0.216,-0.264,0.073,-0.06,0.36,-0.149,-0.001
MODEBIKE,-0.018,0.036,-0.115,0.009,0.674,0.216,0.031,0.024,0.026
MODEWALK,0.118,0.024,-0.275,-0.408,0.141,0.013,0.2,-0.212,0.072
GASPRICE,0.065,-0.018,-0.007,0.348,0.186,-0.017,0.167,-0.549,-0.044
RDDEATH,-0.01,0.066,-0.205,-0.704,-0.028,-0.091,0.009,0.375,0.03
CONGEST,-0.03,0.022,-0.002,-0.101,-0.024,0.112,0.87,-0.027,-0.038
AMPEAK,0.005,-0.037,0.028,-0.065,-0.029,0.038,0.846,-0.096,-0.086
PMPEAK,-0.005,0.029,0.07,-0.012,-0.053,-0.024,0.935,0.11,-0.121
TI,0.021,0.009,-0.112,-0.025,-0.768,0.169,0.294,0.08,0.01
TTI,0.098,0.038,-0.137,0.026,-0.694,0.146,0.396,0.007,-0.005
INEFIND,0.027,-0.02,-0.134,0.11,-0.774,0.14,0.225,0.081,-0.039
POP,0.088,0.032,0.093,0.148,-0.029,0.605,0.238,0.016,0.215
LAND,0.112,-0.083,-0.004,0.518,-0.03,0.292,0.129,0.259,0.28
POPDEN,0.003,-0.015,-0.046,-0.392,-0.075,0.395,0.075,-0.24,-0.151
POCH9000,0.042,0.067,0.041,0.033,0.141,0.892,-0.029,0.025,0.059
POCH0010,0.014,0.063,0.032,0.033,0.099,0.949,-0.019,0.014,0.071
POCH1020,0.022,0.048,0.037,-0.021,0.03,0.975,-0.003,-0.032,0.028
POCH2025,-0.005,0.007,0.032,-0.076,-0.14,0.952,0.011,-0.103,-0.041
UR15,0.055,0.265,0.02,0.483,0.027,-0.341,-0.083,0.111,0.141
URCH1525,-0.025,0.017,-0.105,-0.333,0.483,0.459,0.034,0.134,-0.043
GDPPCP,0.067,-0.08,0.005,0.931,-0.041,-0.017,-0.092,-0.01,-0.04
UNEMPLOY,-0.043,-0.151,-0.063,-0.322,-0.399,0.054,-0.087,-0.299,0.015
COSTLIV,-0.05,0.047,-0.698,1.249,-0.009,-0.026,0.043,-0.075,0.046
RENT,0.008,-0.079,-0.734,1.239,0.006,0.097,0.169,0.021,0.041
GROCERY,-0.067,0.039,-0.667,1.223,0.02,0.019,0.027,0.023,0.035
RESTAPRI,-0.018,0.054,-0.487,1.143,-0.078,-0.073,-0.013,-0.128,0.018
LOCPURPO,-0.033,0.049,0.17,0.613,-0.037,0.134,-0.302,0.026,-0.059
GINI,-0.018,0.337,-0.211,-0.033,-0.36,-0.086,-0.111,0.119,0.073
POVERTY,-0.053,0.21,-0.262,-0.216,-0.303,-0.007,-0.164,0.063,-0.041
LIFEEXP,0.044,0.23,0.169,0.468,0.286,-0.18,-0.057,0.013,0.061
SAFETY,0.05,-0.198,-0.001,0.301,0.472,0.017,0.014,-0.127,-0.15
INTERNET,0.079,0.187,0.036,0.661,0.102,-0.195,-0.068,-0.008,0.001
DIGITAL,0.065,0.116,0.141,0.71,0.026,-0.175,-0.135,0.009,-0.01
INNOVAT,0.154,0.072,0.211,0.661,0.02,0.077,0.076,0.002,0.042
SMARTPHO,0.044,0.073,0.041,0.655,0.239,-0.006,-0.244,0.12,-0.053
CO2EMSPC,0.062,-0.069,0.069,0.561,0.025,0.023,-0.269,0.231,-0.045
POLLUI,-0.032,-0.168,0.052,-0.636,0.012,0.242,0.188,0.098,0.109
STLENT,-0.082,0.075,0.026,0.166,0.111,0.08,0.16,0.239,-0.055
STLEND,-0.04,0.091,0.245,0.133,-0.239,-0.01,0.022,-0.109,0.531
STLENAVG,0.011,-0.044,0.001,-0.02,0.61,0.166,-0.007,0.29,-0.245
INTERST,-0.066,0.102,0.05,0.15,-0.06,0.089,0.191,0.157,0.073
INTERSD,-0.189,0.079,0.089,0.018,0.004,-0.111,-0.003,-0.226,0.36
K_AVG,-0.07,-0.126,-0.323,-0.084,-0.123,0.064,-0.138,0.013,0.261
STPERNOD,0.039,0.002,-0.126,0.03,0.267,0.234,-0.155,0.062,0.512
CIRCUITY,-0.015,0.167,0.034,0.1,0.069,-0.234,0.139,0.052,-0.528
LOOPP,-0.097,0.093,0.007,0.447,-0.132,0.004,-0.197,-0.047,-0.287
HIGHWAYP,0.016,0.028,0.018,0.454,0.425,0.207,-0.077,0.217,-0.158
